,precision,recall,f1-score
acacia_auriculiformis,1.0,0.8888888888888888,0.9411764705882353
acacia_mangium,0.9,1.0,0.9473684210526315
acer_saccharum,1.0,1.0,1.0
dipterocarpus_grandiflorus,1.0,1.0,1.0
endospermum_peltatum,1.0,1.0,1.0
eucalyptus_camaldulensis,1.0,1.0,1.0
falcataria_falcata,1.0,0.4444444444444444,0.6153846153846154
fraxinus_americana,1.0,0.9166666666666666,0.9565217391304348
gmelina_arborea,0.8181818181818182,1.0,0.9
hevea_brasiliensis,1.0,1.0,1.0
instia_bijuga,1.0,1.0,1.0
juglans_nigra,1.0,1.0,1.0
juglans_regia,1.0,1.0,1.0
leucaena_leucocephala,1.0,1.0,1.0
palosapis,1.0,0.8888888888888888,0.9411764705882353
parashorea_malaanonan,0.9,1.0,0.9473684210526315
pometia_pinnata,1.0,1.0,1.0
pterocarpus_indicus,0.9,0.8181818181818182,0.8571428571428571
quercus_robur,1.0,1.0,1.0
samanea_saman,1.0,1.0,1.0
shorea_albida,1.0,1.0,1.0
shorea_astylosa,1.0,1.0,1.0
shorea_contorta,1.0,1.0,1.0
shorea_negrosensis,0.6428571428571429,1.0,0.782608695652174
shorea_ovata,0.75,1.0,0.8571428571428571
shorea_palosapis,1.0,1.0,1.0
shorea_parvifolia,1.0,1.0,1.0
shorea_polysperma,0.6,0.3333333333333333,0.42857142857142855
swietenia_macrophylla,1.0,1.0,1.0
tectona_grandis,1.0,1.0,1.0
vitex_parviflora,0.9,1.0,0.9473684210526315
accuracy,0.9424460431654677,0.9424460431654677,0.9424460431654677
macro avg,0.9487431922915794,0.9448517432388399,0.9394138837857654
weighted avg,0.9478393908250025,0.9424460431654677,0.9376990090212431
