scientific_name,other_names
acacia_auriculiformis,acacia_auriculiformis
acacia_mangium,acacia_mangium
acer_saccharum,acer_saccharum
dipterocarpus_grandiflorus,dipterocarpus_grandiflorus
endospermum_peltatum,endospermum_peltatum
eucalyptus_camaldulensis,eucalyptus_camaldulensis
falcataria_falcata,falcataria_falcata
fraxinus_americana,fraxinus_americana
gmelina_arborea,gmelina_arborea
hevea_brasiliensis,hevea_brasiliensis
instia_bijuga,instia_bijuga
juglans_nigra,juglans_nigra
juglans_regia,juglans_regia
leucaena_leucocephala,leucaena_leucocephala
palosapis,palosapis
parashorea_malaanonan,parashorea_malaanonan
pometia_pinnata,pometia_pinnata
pterocarpus_indicus,pterocarpus_indicus
quercus_robur,quercus_robur
samanea_saman,samanea_saman
shorea_albida,shorea_albida
shorea_astylosa,shorea_astylosa
shorea_contorta,shorea_contorta
shorea_negrosensis,shorea_negrosensis
shorea_ovata,shorea_ovata
shorea_palosapis,shorea_palosapis
shorea_parvifolia,shorea_parvifolia
shorea_polysperma,shorea_polysperma
swietenia_macrophylla,swietenia_macrophylla
tectona_grandis,tectona_grandis
vitex_parviflora,vitex_parviflora
